Civilite,Nom,Prenom,Mandat,Circonscription,Departement,Candidat,Date_de_publication,,,,,,,,
M.,ROULLET,Dominique,Conseiller régional,Centre-Val De Loire,Indre,HIDALGO Anne,01/02/2022,,,,,,,,
M.,ROIRON,Pierre-Alain,Maire,Langeais,Indre-et-Loire,HIDALGO Anne,01/02/2022,,,,,,,,
M.,ROBIN,François,Conseiller départemental,,Lozère,HIDALGO Anne,01/02/2022,,,,,,,,
M.,GUIBERT,Vincent,Conseiller départemental,,Maine-et-Loire,HIDALGO Anne,01/02/2022,,,,,,,,
M.,ARRIVÉ,Benoît,Maire,Cherbourg-en-Cotentin,Manche,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,PIC,Anna,Conseillère régionale,Normandie,Manche,HIDALGO Anne,01/02/2022,,,,,,,,
M.,QUENARD,Eric,Conseiller régional,Grand Est,Marne,HIDALGO Anne,01/02/2022,,,,,,,,
M.,DESNOUVEAUX,Gilles,Maire,Reynel,Haute-Marne,HIDALGO Anne,01/02/2022,,,,,,,,
M.,JACQUIN,Olivier,Sénateur,,Meurthe-et-Moselle,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,THIL,Marie-Claude,Maire,Béthincourt,Meuse,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,LAVALETTE,Dominique,Conseillère départementale,,Oise,HIDALGO Anne,01/02/2022,,,,,,,,
M.,BEAUVAIS,Laurent,Conseiller régional,Normandie,Orne,HIDALGO Anne,01/02/2022,,,,,,,,
M.,MAGNER,Jacques-Bernard,Sénateur,,Puy-de-Dôme,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,ISSON,Geneviève,Conseillère départementale,,Hautes-Pyrénées,HIDALGO Anne,01/02/2022,,,,,,,,
M.,BLANC,Mathias,Conseiller départemental,,Pyrénées-Orientales,HIDALGO Anne,01/02/2022,,,,,,,,
M.,BURKHALTER,Fernand,Maire,Héricourt,Haute-Saône,HIDALGO Anne,01/02/2022,,,,,,,,
M.,NIEPCERON,Loïc,Conseiller régional,Bourgogne-Franche-Comté,Haute-Saône,HIDALGO Anne,01/02/2022,,,,,,,,
M.,BLOCHE,Patrick,Conseiller de Paris,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
M.,CARON-THIBAULT,Gauthier,Conseiller de Paris,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
M.,CHEVANDIER,Thomas,Conseiller de Paris,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
M.,COBLENCE,Emmanuel,Conseiller de Paris,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,CORDEBARD,Alexandra,Maire d'arrondissement,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
M.,FERAUD,Rémi,Sénateur,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,GARRIGOS,Geneviève,Conseillère de Paris,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,LEMARDELEY,Marie-Christine,Conseillère de Paris,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,ROLLAND,Carine,Conseillère de Paris,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
M.,ZIADY,Karim,Conseiller de Paris,,Paris,HIDALGO Anne,01/02/2022,,,,,,,,
M.,BOUCHE,Frederic,Maire,Villeparisis,Seine-et-Marne,HIDALGO Anne,01/02/2022,,,,,,,,
M.,GERVILLE-REACHE,Fabrice,Maire,Nexon,Haute-Vienne,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,AZZAZ,Nadège,Maire,Châtillon,Hauts-de-Seine,HIDALGO Anne,01/02/2022,,,,,,,,
Mme,BEAULANDE,Marie-José,Maire,Eaubonne,Val-d'Oise,HIDALGO Anne,01/02/2022,,,,,,,,
M.,DEDIES,Daniel,Conseiller départemental,,Aude,JADOT Yannick,01/02/2022,,,,,,,,
M.,RAUZY,Nicolas,Maire,Les Cassés,Aude,JADOT Yannick,01/02/2022,,,,,,,,
